method,cell,content,style,hit
ccstytr,000000098633__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000098633,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0
ccstytr,000000098633__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000098633,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0
ccstytr,000000098633__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000098633,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0
ccstytr,000000098633__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000098633,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0
ccstytr,000000098633__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000098633,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,0
ccstytr,000000098633__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000098633,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0
ccstytr,000000098633__Minimalism__mario-schifano_untitled-1963,000000098633,Minimalism__mario-schifano_untitled-1963,0
ccstytr,000000098633__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000098633,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0
ccstytr,000000098633__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000098633,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0
ccstytr,000000098633__Pop_Art__peter-max_composition-red-green-1979,000000098633,Pop_Art__peter-max_composition-red-green-1979,0
ccstytr,000000098633__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000098633,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,1
ccstytr,000000098633__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000098633,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),0
ccstytr,000000098633__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000098633,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0
ccstytr,000000098633__Romanticism__gustave-dore_paradise-lost-4,000000098633,Romanticism__gustave-dore_paradise-lost-4,0
ccstytr,000000098633__Symbolism__nicholas-roerich_language-of-forest-1922,000000098633,Symbolism__nicholas-roerich_language-of-forest-1922,0
ccstytr,000000098633__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000098633,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0
ccstytr,000000106912__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000106912,Abstract_Expressionism__paul-jenkins_not_detected_235703,0
ccstytr,000000106912__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000106912,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0
ccstytr,000000106912__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000106912,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0
ccstytr,000000106912__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000106912,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0
ccstytr,000000106912__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000106912,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0
ccstytr,000000106912__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000106912,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0
ccstytr,000000106912__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000106912,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0
ccstytr,000000106912__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000106912,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0
ccstytr,000000106912__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000106912,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,1
ccstytr,000000106912__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000106912,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0
ccstytr,000000106912__Minimalism__mario-schifano_untitled-1963,000000106912,Minimalism__mario-schifano_untitled-1963,0
ccstytr,000000106912__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000106912,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0
ccstytr,000000106912__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000106912,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0
ccstytr,000000106912__Pop_Art__peter-max_composition-red-green-1979,000000106912,Pop_Art__peter-max_composition-red-green-1979,0
ccstytr,000000106912__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000106912,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,1
ccstytr,000000106912__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000106912,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),0
ccstytr,000000106912__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000106912,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0
ccstytr,000000106912__Romanticism__gustave-dore_paradise-lost-4,000000106912,Romanticism__gustave-dore_paradise-lost-4,0
ccstytr,000000106912__Symbolism__nicholas-roerich_language-of-forest-1922,000000106912,Symbolism__nicholas-roerich_language-of-forest-1922,0
ccstytr,000000106912__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000106912,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0
ccstytr,000000116208__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000116208,Abstract_Expressionism__paul-jenkins_not_detected_235703,0
ccstytr,000000116208__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000116208,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0
ccstytr,000000116208__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000116208,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0
ccstytr,000000116208__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000116208,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0
