method,output,cell,content,style,ssim,lpips,e_ssim,l_c,l_s
adain,000000001818__Romanticism__gustave-dore_paradise-lost-4.jpg,000000001818__Romanticism__gustave-dore_paradise-lost-4,000000001818,Romanticism__gustave-dore_paradise-lost-4,0.16802747547626495,0.5201873779296875,0.20069504652480638,2.470370054244995,1.2625972032546997
adain,000000001818__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,000000001818__Symbolism__nicholas-roerich_language-of-forest-1922,000000001818,Symbolism__nicholas-roerich_language-of-forest-1922,0.19104059040546417,0.6123685836791992,0.2476155859047912,2.596133232116699,1.3551946878433228
adain,000000001818__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,000000001818__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000001818,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0.17958249151706696,0.5915737152099609,0.21005418007688956,2.4923644065856934,2.3645517826080322
adain,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000009448,Abstract_Expressionism__paul-jenkins_not_detected_235703,0.2569144666194916,0.550195574760437,0.37643017126383516,2.4902291297912598,1.1444870233535767
adain,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000009448,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0.24702073633670807,0.5979476571083069,0.35634137870204247,2.23183536529541,1.2310715913772583
adain,000000009448__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,000000009448__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000009448,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0.20049576461315155,0.731899619102478,0.3643277514341712,2.6764698028564453,0.7304418683052063
adain,000000009448__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,000000009448__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000009448,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0.1931791454553604,0.8184847831726074,0.2363086920848385,3.4603874683380127,0.5496329665184021
adain,000000009448__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,000000009448__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000009448,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0.24593918025493622,0.8076878786087036,0.2885067637054111,2.4863672256469727,0.5908501148223877
adain,000000009448__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,000000009448__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000009448,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0.1876429170370102,0.6456871032714844,0.23014720476929568,2.481550693511963,1.4913597106933594
adain,000000009448__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,000000009448__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000009448,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0.20447975397109985,0.7744631767272949,0.27090337220723526,2.378675937652588,0.8727460503578186
adain,000000009448__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,000000009448__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000009448,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0.216058611869812,0.6100430488586426,0.2755101872850015,2.2194650173187256,2.4871268272399902
adain,000000009448__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,000000009448__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000009448,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,0.21801523864269257,0.7334980368614197,0.26005088994578207,2.647778034210205,0.8908203840255737
adain,000000009448__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,000000009448__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000009448,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0.16113394498825073,0.6294751763343811,0.23393562776796986,2.370823860168457,1.5614382028579712
adain,000000009448__Minimalism__mario-schifano_untitled-1963.jpg,000000009448__Minimalism__mario-schifano_untitled-1963,000000009448,Minimalism__mario-schifano_untitled-1963,0.19812674820423126,1.1467375755310059,0.32135698648067557,3.2023391723632812,1.137868046760559
