method,content,style,ocr_sim,n_gt
stytr2,324,western_painting__met_437967,0.3853,11
adain,324,western_painting__met_437967,0.181,11
sanet,324,western_painting__met_437967,0.2598,11
cast,324,western_painting__met_437967,0.2658,11
stytr2,324,western_painting__met_439405,0.2658,11
adain,324,western_painting__met_439405,0.0,11
sanet,324,western_painting__met_439405,0.1364,11
cast,324,western_painting__met_439405,0.4473,11
stytr2,324,western_painting__met_649693,0.3139,11
adain,324,western_painting__met_649693,0.0,11
sanet,324,western_painting__met_649693,0.2201,11
cast,324,western_painting__met_649693,0.4101,11
stytr2,324,western_painting__met_739494,0.2749,11
adain,324,western_painting__met_739494,0.0901,11
sanet,324,western_painting__met_739494,0.268,11
cast,324,western_painting__met_739494,0.3921,11
stytr2,324,western_painting__met_787672,0.2749,11
adain,324,western_painting__met_787672,0.0152,11
sanet,324,western_painting__met_787672,0.2719,11
cast,324,western_painting__met_787672,0.3367,11
stytr2,324,western_painting__met_788182,0.2901,11
adain,324,western_painting__met_788182,0.039,11
sanet,324,western_painting__met_788182,0.0909,11
cast,324,western_painting__met_788182,0.3867,11
stytr2,361,chinese_landscape__130942,0.5097,8
adain,361,chinese_landscape__130942,0.0625,8
sanet,361,chinese_landscape__130942,0.3385,8
cast,361,chinese_landscape__130942,0.1962,8
stytr2,361,chinese_landscape__132834,0.4231,8
adain,361,chinese_landscape__132834,0.0625,8
sanet,361,chinese_landscape__132834,0.125,8
cast,361,chinese_landscape__132834,0.2674,8
stytr2,361,chinese_landscape__132836,0.3194,8
adain,361,chinese_landscape__132836,0.0,8
sanet,361,chinese_landscape__132836,0.125,8
cast,361,chinese_landscape__132836,0.125,8
stytr2,361,chinese_landscape__132840,0.3755,8
adain,361,chinese_landscape__132840,0.0625,8
sanet,361,chinese_landscape__132840,0.125,8
cast,361,chinese_landscape__132840,0.125,8
stytr2,361,chinese_landscape__132930,0.3924,8
adain,361,chinese_landscape__132930,0.0625,8
sanet,361,chinese_landscape__132930,0.125,8
cast,361,chinese_landscape__132930,0.125,8
stytr2,361,chinese_landscape__137205,0.3455,8
adain,361,chinese_landscape__137205,0.0625,8
sanet,361,chinese_landscape__137205,0.125,8
cast,361,chinese_landscape__137205,0.125,8
stytr2,361,chinese_landscape__142574,0.125,8
adain,361,chinese_landscape__142574,0.0,8
sanet,361,chinese_landscape__142574,0.125,8
cast,361,chinese_landscape__142574,0.125,8
stytr2,361,chinese_landscape__142578,0.3701,8
adain,361,chinese_landscape__142578,0.0625,8
sanet,361,chinese_landscape__142578,0.125,8
cast,361,chinese_landscape__142578,0.125,8
stytr2,361,chinese_landscape__144829,0.4431,8
adain,361,chinese_landscape__144829,0.0625,8
sanet,361,chinese_landscape__144829,0.125,8
cast,361,chinese_landscape__144829,0.125,8
stytr2,361,chinese_landscape__148342,0.3562,8
adain,361,chinese_landscape__148342,0.0625,8
sanet,361,chinese_landscape__148342,0.0938,8
cast,361,chinese_landscape__148342,0.125,8
stytr2,361,mural__img_1082crop_1_0,0.344,8
adain,361,mural__img_1082crop_1_0,0.0938,8
sanet,361,mural__img_1082crop_1_0,0.125,8
