method,content,style,ocr_sim,n_gt
alpha_050,p031,s01,0.3945,9
alpha_050,p031,s02,0.4286,9
alpha_050,p031,s03,0.5370,9
alpha_050,p031,s04,0.3889,9
alpha_050,p031,s05,0.4136,9
alpha_050,p031,s06,0.4506,9
alpha_050,p031,s07,0.4037,9
alpha_050,p031,s08,0.5926,9
alpha_050,p031,s09,0.4457,9
alpha_050,p032,s00,0.5042,4
alpha_050,p032,s01,0.3063,4
alpha_050,p032,s06,0.4417,4
alpha_050,p032,s02,0.3063,4
alpha_050,p032,s03,0.4917,4
alpha_050,p032,s04,0.5875,4
alpha_050,p032,s08,0.4729,4
alpha_050,p032,s07,0.3063,4
alpha_050,p032,s05,0.5542,4
alpha_050,p032,s09,0.5750,4
alpha_050,p033,s00,0.6766,7
alpha_050,p033,s03,0.6385,7
alpha_050,p033,s02,0.5925,7
alpha_050,p033,s01,0.4611,7
alpha_050,p033,s04,0.5056,7
alpha_050,p033,s05,0.5881,7
alpha_050,p033,s08,0.6405,7
alpha_050,p033,s06,0.5999,7
alpha_050,p033,s07,0.6048,7
alpha_050,p033,s09,0.6643,7
alpha_050,p034,s00,0.7000,6
alpha_050,p034,s01,0.4167,6
alpha_050,p034,s03,0.6208,6
alpha_050,p034,s04,0.6167,6
alpha_050,p034,s02,0.6583,6
alpha_050,p034,s05,0.4875,6
alpha_050,p034,s06,0.5352,6
alpha_050,p034,s07,0.6352,6
alpha_050,p034,s08,0.6667,6
alpha_050,p034,s09,0.5545,6
alpha_050,p035,s00,0.8846,2
alpha_050,p035,s02,0.8654,2
alpha_050,p035,s01,0.8324,2
alpha_050,p035,s06,0.9423,2
alpha_050,p035,s03,0.9231,2
alpha_050,p035,s07,0.8846,2
alpha_050,p035,s05,0.7885,2
alpha_050,p035,s04,0.8846,2
alpha_050,p035,s08,0.9615,2
alpha_050,p035,s09,0.8462,2
alpha_050,p036,s00,0.2525,12
alpha_050,p036,s01,0.1506,12
alpha_050,p036,s02,0.0595,12
alpha_050,p036,s04,0.1266,12
alpha_050,p036,s03,0.1131,12
alpha_050,p036,s05,0.0970,12
alpha_050,p036,s06,0.1652,12
alpha_050,p036,s08,0.3297,12
alpha_050,p036,s07,0.1682,12
alpha_050,p036,s09,0.0833,12
alpha_050,p037,s00,0.8864,3
alpha_050,p037,s01,0.6515,3
alpha_050,p037,s02,0.9583,3
alpha_050,p037,s03,0.9583,3
alpha_050,p037,s04,0.9327,3
alpha_050,p037,s05,0.8296,3
alpha_050,p037,s06,0.9697,3
alpha_050,p037,s07,0.9167,3
alpha_050,p037,s08,1.0000,3
alpha_050,p037,s09,0.6917,3
alpha_050,p038,s00,0.2542,12
alpha_050,p038,s01,0.1485,12
alpha_050,p038,s02,0.2229,12
alpha_050,p038,s03,0.2762,12
alpha_050,p038,s04,0.2970,12
alpha_050,p038,s06,0.3167,12
alpha_050,p038,s05,0.1678,12
alpha_050,p038,s07,0.2167,12
alpha_050,p038,s08,0.2488,12
alpha_050,p038,s09,0.2407,12
alpha_050,p039,s00,0.3889,9
alpha_050,p039,s01,0.3360,9
alpha_050,p039,s02,0.3889,9
alpha_050,p039,s03,0.3889,9
alpha_050,p039,s06,0.3889,9
alpha_050,p039,s08,0.5794,9
alpha_050,p039,s04,0.5952,9
alpha_050,p039,s05,0.3750,9
alpha_050,p039,s07,0.5476,9
alpha_050,p039,s09,0.3214,9
alpha_050,p040,s00,0.7121,3
alpha_050,p040,s03,0.9250,3
alpha_050,p040,s02,0.8917,3
alpha_050,p040,s01,0.0000,3
alpha_050,p040,s04,0.8121,3
alpha_050,p040,s05,0.7333,3
alpha_050,p040,s06,0.8259,3
alpha_050,p040,s08,0.8259,3
alpha_050,p040,s07,0.7333,3
alpha_050,p040,s09,0.8455,3
alpha_050,p041,s00,1.0000,3
alpha_050,p041,s01,0.9524,3
alpha_050,p041,s02,0.8631,3
alpha_050,p041,s03,0.9583,3
alpha_050,p041,s04,1.0000,3
alpha_050,p041,s05,0.9524,3
alpha_050,p041,s06,0.9583,3
alpha_050,p041,s07,0.9583,3
alpha_050,p041,s08,0.9583,3
alpha_050,p041,s09,1.0000,3
alpha_050,p042,s00,0.7847,6
alpha_050,p042,s02,0.3482,6
alpha_050,p042,s01,0.2292,6
alpha_050,p042,s04,0.7550,6
alpha_050,p042,s03,0.7341,6
alpha_050,p042,s06,0.7371,6
alpha_050,p042,s05,0.3929,6
alpha_050,p042,s08,0.6895,6
alpha_050,p042,s07,0.3690,6
alpha_050,p042,s09,0.6227,6
alpha_050,p043,s01,0.5083,4
alpha_050,p043,s00,0.7500,4
alpha_050,p043,s02,0.6058,4
alpha_050,p043,s03,0.6875,4
alpha_050,p043,s04,0.5417,4
alpha_050,p043,s07,0.5417,4
alpha_050,p043,s06,0.6250,4
alpha_050,p043,s08,0.7500,4
alpha_050,p043,s05,0.5417,4
alpha_050,p043,s09,0.5417,4
alpha_050,p044,s00,0.5000,7
alpha_050,p044,s02,0.3571,7
alpha_050,p044,s01,0.4107,7
alpha_050,p044,s03,0.6582,7
alpha_050,p044,s04,0.5714,7
alpha_050,p044,s05,0.5000,7
alpha_050,p044,s06,0.5298,7
alpha_050,p044,s07,0.5255,7
alpha_050,p044,s08,0.6633,7
alpha_050,p044,s09,0.3333,7
alpha_050,p045,s00,0.7325,8
alpha_050,p045,s02,0.5542,8
alpha_050,p045,s03,0.4271,8
alpha_050,p045,s01,0.4295,8
alpha_050,p045,s05,0.4831,8
alpha_050,p045,s04,0.4844,8
alpha_050,p045,s06,0.4375,8
alpha_050,p045,s08,0.7055,8
alpha_050,p045,s09,0.6713,8
alpha_050,p045,s07,0.6207,8
alpha_050,p046,s00,0.4565,12
alpha_050,p046,s02,0.3704,12
alpha_050,p046,s03,0.3891,12
alpha_050,p046,s01,0.1086,12
alpha_050,p046,s05,0.2761,12
alpha_050,p046,s04,0.5207,12
alpha_050,p046,s06,0.5120,12
alpha_050,p046,s07,0.3200,12
alpha_050,p046,s09,0.3631,12
alpha_050,p046,s08,0.6046,12
alpha_050,p047,s00,0.7188,4
alpha_050,p047,s01,0.6250,4
alpha_050,p047,s02,0.6960,4
alpha_050,p047,s03,0.7188,4
alpha_050,p047,s04,0.7500,4
alpha_050,p047,s06,0.6687,4
alpha_050,p047,s07,0.7500,4
alpha_050,p047,s05,0.7188,4
alpha_050,p047,s08,0.7000,4
alpha_050,p047,s09,0.7188,4
alpha_050,p048,s00,0.4107,7
alpha_050,p048,s01,0.3968,7
alpha_050,p048,s02,0.4286,7
alpha_050,p048,s05,0.3286,7
alpha_050,p048,s04,0.4592,7
alpha_050,p048,s03,0.4921,7
alpha_050,p048,s08,0.4000,7
alpha_050,p048,s06,0.3776,7
alpha_050,p048,s07,0.4286,7
alpha_050,p048,s09,0.3750,7
alpha_050,p049,s00,0.4551,12
alpha_050,p049,s01,0.4543,12
alpha_050,p049,s02,0.3402,12
alpha_050,p049,s04,0.5391,12
alpha_050,p049,s03,0.4829,12
alpha_050,p049,s05,0.3926,12
alpha_050,p049,s09,0.5329,12
alpha_050,p049,s06,0.4736,12
alpha_050,p049,s07,0.4710,12
