method,output,ssim,lpips,e_ssim,l_c,l_s
saliency_routed_spatial_alpha,1535__mural__img_276crop_1_0.png,0.3577,0.6997,0.237,2.2357,1.8861
saliency_routed_spatial_alpha,1535__mural__img_326crop_1_1.png,0.497,0.6547,0.2885,1.9543,1.6855
saliency_routed_spatial_alpha,1535__mural__img_327crop_0_1.png,0.49,0.6468,0.3471,2.0512,2.7508
saliency_routed_spatial_alpha,1535__mural__img_536crop_1_0.png,0.4841,0.5914,0.3709,1.8889,2.2416
saliency_routed_spatial_alpha,1535__mural__img_593crop_0_0.png,0.446,0.5848,0.3385,1.9802,1.8699
saliency_routed_spatial_alpha,1535__mural__img_739crop_1_1.png,0.3848,0.554,0.3725,2.0205,2.3036
saliency_routed_spatial_alpha,1535__western_painting__met_359775.png,0.5783,0.5862,0.4376,1.7805,1.4833
saliency_routed_spatial_alpha,1535__western_painting__met_383787.png,0.618,0.5812,0.4845,1.6912,1.0069
saliency_routed_spatial_alpha,1535__western_painting__met_406721.png,0.5587,0.628,0.3707,1.6809,1.0202
saliency_routed_spatial_alpha,1535__western_painting__met_437769.png,0.3636,0.4986,0.5023,1.6084,1.5552
saliency_routed_spatial_alpha,1535__western_painting__met_437967.png,0.4753,0.6134,0.3707,1.8157,1.4932
saliency_routed_spatial_alpha,1535__western_painting__met_439405.png,0.5457,0.5449,0.5203,1.7265,1.7692
saliency_routed_spatial_alpha,1535__western_painting__met_649693.png,0.5519,0.5928,0.4654,1.9191,1.6724
saliency_routed_spatial_alpha,1535__western_painting__met_739494.png,0.6104,0.5121,0.4942,1.5496,1.5391
saliency_routed_spatial_alpha,1535__western_painting__met_787672.png,0.5207,0.5683,0.3854,1.9089,1.2535
saliency_routed_spatial_alpha,1535__western_painting__met_788182.png,0.5817,0.5788,0.4148,1.7282,1.022
saliency_routed_spatial_alpha,1582__chinese_landscape__130942.png,0.5289,0.635,0.5249,1.5227,1.1502
saliency_routed_spatial_alpha,1582__chinese_landscape__132834.png,0.5028,0.6499,0.4451,1.6831,1.0014
saliency_routed_spatial_alpha,1582__chinese_landscape__132836.png,0.499,0.6526,0.4478,1.7214,1.0465
saliency_routed_spatial_alpha,1582__chinese_landscape__132840.png,0.528,0.6433,0.5104,1.6988,0.8467
saliency_routed_spatial_alpha,1582__chinese_landscape__132930.png,0.5454,0.6648,0.4925,1.6079,0.6647
saliency_routed_spatial_alpha,1582__chinese_landscape__137205.png,0.436,0.6939,0.3695,1.8961,1.2842
saliency_routed_spatial_alpha,1582__chinese_landscape__142574.png,0.5342,0.688,0.465,1.6276,0.8057
saliency_routed_spatial_alpha,1582__chinese_landscape__142578.png,0.4882,0.6842,0.3864,1.6998,1.1317
saliency_routed_spatial_alpha,1582__chinese_landscape__144829.png,0.5036,0.6727,0.4246,1.5497,0.9928
saliency_routed_spatial_alpha,1582__chinese_landscape__148342.png,0.4648,0.6834,0.3595,1.7371,1.1151
saliency_routed_spatial_alpha,1582__mural__img_1082crop_1_0.png,0.315,0.6949,0.3052,2.2828,4.0222
saliency_routed_spatial_alpha,1582__mural__img_1224crop_0_0.png,0.2178,0.7555,0.2151,2.4606,6.4684
saliency_routed_spatial_alpha,1582__mural__img_1224crop_1_1.png,0.2256,0.7502,0.207,2.5104,8.1349
saliency_routed_spatial_alpha,1582__mural__img_16crop_0_0.png,0.3678,0.6828,0.2877,2.0113,1.6915
saliency_routed_spatial_alpha,1582__mural__img_276crop_1_0.png,0.3138,0.6205,0.2519,2.1134,1.664
saliency_routed_spatial_alpha,1582__mural__img_326crop_1_1.png,0.3977,0.7214,0.3018,2.1,1.5497
saliency_routed_spatial_alpha,1582__mural__img_327crop_0_1.png,0.3929,0.7053,0.3295,2.1955,3.1463
saliency_routed_spatial_alpha,1582__mural__img_536crop_1_0.png,0.3705,0.6992,0.351,2.1094,2.5014
saliency_routed_spatial_alpha,1582__mural__img_593crop_0_0.png,0.3548,0.6838,0.3141,2.1251,1.9314
saliency_routed_spatial_alpha,1582__mural__img_739crop_1_1.png,0.3166,0.649,0.3626,2.1522,2.3789
saliency_routed_spatial_alpha,1582__western_painting__met_359775.png,0.462,0.685,0.4387,1.8772,1.6385
saliency_routed_spatial_alpha,1582__western_painting__met_383787.png,0.5143,0.6784,0.4861,1.8138,1.1938
saliency_routed_spatial_alpha,1582__western_painting__met_406721.png,0.4486,0.6921,0.37,1.8177,1.0123
saliency_routed_spatial_alpha,1582__western_painting__met_437769.png,0.3152,0.6649,0.5464,1.7345,1.58
saliency_routed_spatial_alpha,1582__western_painting__met_437967.png,0.399,0.6943,0.3933,1.8513,1.4342
saliency_routed_spatial_alpha,1582__western_painting__met_439405.png,0.4921,0.5551,0.6118,1.6827,1.6438
saliency_routed_spatial_alpha,1582__western_painting__met_649693.png,0.4165,0.6531,0.3929,2.115,2.115
saliency_routed_spatial_alpha,1582__western_painting__met_739494.png,0.4927,0.6429,0.4581,1.7064,1.6926
saliency_routed_spatial_alpha,1582__western_painting__met_787672.png,0.4204,0.6485,0.3769,1.9924,1.3897
saliency_routed_spatial_alpha,1582__western_painting__met_788182.png,0.4692,0.6575,0.4028,1.8108,1.1931
saliency_routed_spatial_alpha,1600__chinese_landscape__130942.png,0.5709,0.335,0.6668,1.2458,0.9509
saliency_routed_spatial_alpha,1600__chinese_landscape__132834.png,0.4993,0.4215,0.5705,1.6005,0.9502
saliency_routed_spatial_alpha,1600__chinese_landscape__132836.png,0.5006,0.4334,0.563,1.6728,1.0329
saliency_routed_spatial_alpha,1600__chinese_landscape__132840.png,0.4772,0.4159,0.5741,1.6595,0.9741
saliency_routed_spatial_alpha,1600__chinese_landscape__132930.png,0.4784,0.4109,0.5778,1.5122,0.6334
saliency_routed_spatial_alpha,1600__chinese_landscape__137205.png,0.4969,0.5067,0.5066,1.8549,1.5048
saliency_routed_spatial_alpha,1600__chinese_landscape__142574.png,0.4919,0.4255,0.5745,1.5179,0.7396
saliency_routed_spatial_alpha,1600__chinese_landscape__142578.png,0.5178,0.444,0.534,1.6096,0.9846
saliency_routed_spatial_alpha,1600__chinese_landscape__144829.png,0.5186,0.435,0.5696,1.466,0.7104
